Country,Region,Population,Area square km,Pop density per square km,Coastline,Net migration,Infant mortality per 1000 births,GDP in dollars per capita,Literacy rate,Phones per 1000,Birthrate,Deathrate,Agriculture,Industry,Service
Kenya,Africa,34707817,582650,"59,6","0,09","-0,1","61,47",1000,"85,1","8,1","39,72","14,02","0,163","0,188","0,651"
Kiribati,Oceania,105432,811,"130,0","140,94",0,"48,52",800,,"42,7","30,65","8,26","0,089","0,242","0,668"
"Korea, North",Asia,23113019,120540,"191,8","2,07",0,"24,04",1300,"99,0","42,4","15,54","7,13","0,3","0,34","0,36"
"Korea, South",Asia,48846823,98480,"496,0","2,45",0,"7,05",17800,"97,9","486,1",10,"5,85","0,033","0,403","0,563"
Kuwait,Asia,2418393,17820,"135,7","2,80","14,18","9,95",19000,"83,5","211,0","21,94","2,41","0,004","0,479","0,516"
Kyrgyzstan,Asia,5213898,198500,"26,3","0,00","-2,45","35,64",1600,"97,0","84,0","22,8","7,08","0,353","0,208","0,439"
Laos,Asia,6368481,236800,"26,9","0,00",0,"85,22",1700,"66,4","14,1","35,49","11,55","0,455","0,287","0,258"
Latvia,Europe,2274735,64589,"35,2","0,82","-2,23","9,55",10200,"99,8","321,4","9,24","13,66","0,04","0,261","0,699"
Lebanon,Asia,3874050,10400,"372,5","2,16",0,"24,52",4800,"87,4","255,6","18,52","6,21","0,12","0,21","0,67"
Lesotho,Africa,2022331,30355,"66,6","0,00","-0,74","84,23",3000,"84,8","23,7","24,75","28,71","0,163","0,443","0,394"
Liberia,Africa,3042004,111370,"27,3","0,52",0,"128,87",1000,"57,5","2,3","44,77","23,1","0,769","0,054","0,177"
Libya,Africa,5900754,1759540,"3,4","0,10",0,"24,6",6400,"82,6","127,1","26,49","3,48","0,076","0,499","0,425"
Liechtenstein,Europe,33987,160,"212,4","0,00","4,85","4,7",25000,"100,0","585,5","10,21","7,18","0,06","0,39","0,55"
Lithuania,Europe,3585906,65200,"55,0","0,14","-0,71","6,89",11400,"99,6","223,4","8,75","10,98","0,055","0,325","0,62"
Luxembourg,Europe,474413,2586,"183,5","0,00","8,97","4,81",55100,"100,0","515,4","11,94","8,41","0,01","0,13","0,86"
Macau,Asia,453125,28,"16183,0","146,43","4,86","4,39",19400,"94,5","384,9","8,48","4,47","0,001","0,072","0,927"
Macedonia,Europe,2050554,25333,"80,9","0,00","-1,45","10,09",6700,,"260,0","12,02","8,77","0,118","0,319","0,563"
Madagascar,Africa,18595469,587040,"31,7","0,82",0,"76,83",800,"68,9","3,6","41,41","11,11","0,276","0,165","0,559"
Malawi,Africa,13013926,118480,"109,8","0,00",0,"103,32",600,"62,7","7,9","43,13","19,33","0,342","0,158","0,499"
Malaysia,Asia,24385858,329750,"74,0","1,42",0,"17,7",9000,"88,7","179,0","22,86","5,05","0,084","0,48","0,436"
Maldives,Asia,359008,300,"1196,7","214,67",0,"56,52",3900,"97,2","90,0","34,81","7,06","0,2","0,18","0,62"
Mali,Africa,11716829,1240000,"9,5","0,00","-0,33","116,79",900,"46,4","6,4","49,82","16,89","0,45","0,17","0,38"
Malta,Europe,400214,316,"1266,5","62,28","2,07","3,89",17700,"92,8","505,0","10,22","8,1","0,03","0,23","0,74"
Marshall Islands,Oceania,60422,11854,"5,1","3,12","-6,04","29,45",1600,"93,7","91,2","33,05","4,78","0,317","0,149","0,534"
Martinique,South America,436131,1100,"396,5","31,82","-0,05","7,09",14400,"97,7","394,4","13,74","6,48","0,06","0,11","0,83"
Mauritania,Africa,3177388,1030700,"3,1","0,07",0,"70,89",1800,"41,7","12,9","40,99","12,16","0,25","0,29","0,46"
Mauritius,Africa,1240827,2040,"608,3","8,68","-0,9","15,03",11400,"85,6","289,3","15,43","6,86","0,059","0,298","0,643"
Mayotte,Africa,201234,374,"538,1","49,52","6,78","62,4",2600,,"49,7","40,95","7,7",,,
Mexico,South America,107449525,1972550,"54,5","0,47","-4,87","20,91",9000,"92,2","181,6","20,69","4,74","0,038","0,259","0,702"
"Micronesia, Fed. St.",Oceania,108004,702,"153,9","870,66","-20,99","30,21",2000,"89,0","114,8","24,68","4,75","0,289","0,152","0,559"
Moldova,Europe,4466706,33843,"132,0","0,00","-0,26","40,42",1800,"99,1","208,1","15,7","12,64","0,213","0,233","0,555"
Monaco,Europe,32543,2,"16271,5","205,00","7,75","5,43",27000,"99,0","1035,6","9,19","12,91","0,17",,
Mongolia,Asia,2832224,1564116,"1,8","0,00",0,"53,79",1800,"97,8","55,1","21,59","6,95","0,206","0,214","0,58"
Montserrat,South America,9439,102,"92,5","39,22",0,"7,35",3400,"97,0",,"17,59","7,1",,,
Morocco,Africa,33241259,446550,"74,4","0,41","-0,98","41,62",4000,"51,7","40,4","21,98","5,58","0,217","0,357","0,426"
Mozambique,Africa,19686505,801590,"24,6","0,31",0,"130,79",1200,"47,8","3,5","35,18","21,35","0,262","0,348","0,39"
Namibia,Africa,2044147,825418,"2,5","0,19",0,"48,98",7200,"84,0","62,6","24,32","18,86","0,097","0,315","0,588"
Nauru,Oceania,13287,21,"632,7","142,86",0,"9,95",5000,,"143,0","24,76","6,7",,,
Nepal,Asia,28287147,147181,"192,2","0,00",0,"66,98",1400,"45,2","15,9","30,98","9,31","0,38","0,21","0,41"
Netherlands,Europe,16491461,41526,"397,1","1,09","2,91","5,04",28600,"99,0","460,8","10,9","8,68","0,021","0,244","0,736"
Netherlands Antilles,South America,221736,960,"231,0","37,92","-0,41","10,03",11400,"96,7","365,3","14,78","6,45","0,01","0,15","0,84"
New Caledonia,Oceania,219246,19060,"11,5","11,83",0,"7,72",15000,"91,0","252,2","18,11","5,69","0,15","0,088","0,762"
New Zealand,Oceania,4076140,268680,"15,2","5,63","4,05","5,85",21600,"99,0","441,7","13,76","7,53","0,043","0,273","0,684"
Nicaragua,South America,5570129,129494,"43,0","0,70","-1,22","29,11",2300,"67,5","39,7","24,51","4,45","0,165","0,275","0,56"
Niger,Africa,12525094,1267000,"9,9","0,00","-0,67","121,69",800,"17,6","1,9","50,73","20,91","0,39","0,17","0,44"
Nigeria,Africa,131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","40,43","16,94","0,269","0,487","0,244"
N. Mariana Islands,Oceania,82459,477,"172,9","310,69","9,61","7,11",12500,"97,0","254,7","19,43","2,29",,,
